#,Emoticon,Meaning,Votes
713,@|-),Meditating,400.0
714,（＾～＾）,Meh,300.0
715,ヽ（´ー｀）┌,Mellow,267.0
716,O O /|\ /|\ /\ /\,Men,200.0
717,@,Mention,200.0
718,@_@,Mesmerized,167.0
719,\m/,Metal,117.0
720,|:-[|],Mick Jagger,400.0
721,ºOº,Mickey Mouse,167.0
722,o/<,Midget,300.0
723,(o:v),Miner,500.0
724,?8},Mischievous,233.0
725,=)=,Mixed Feelings,300.0
726,(mm),Mmm,400.0
727,(mp),Mobile Phone,300.0
728,^o^,Mog,300.0
729,-:-),Mohawk,350.0
730,[*(1)*],Money,200.0
731,$-),Money Eyes,400.0
732,:-($),Money Mouth,250.0
733,O|-),Monk,400.0
734,@('.')@,Monkey,175.0
735,ಠ_ರೃ,Monocle,150.0
736,:E,Monster,300.0
737,(_i_),Mooning,300.0
738,(|),Mooning You,400.0
739,(>°|°<),Mosquito,367.0
740,o-7-o,Motorbike,450.0
741,o--7o,Motorcycle,400.0
742,/'\,Mountain,300.0
743,<:3)~,Mouse,144.0
744,8(:-),Mouseketeer,300.0
745,(~),Movie,450.0
746,:mrgreen:,Mr. Green,450.0
747,~O-O~,Mr. Magoo,300.0
748,(m),MSN Messenger,300.0
749,cl_l,Mug,400.0
750,(flex),Muscle,233.0
751,ᕦ❍ᴗ❍ᕤ,Muscular Person,200.0
752,(music),Music,433.0
753,( ￣┏＿┓￣),Mustache,156.0
754,:{|,Mustache Man,300.0
755,:-:,Mutant,400.0
756,(myspace),Myspace,500.0
757,•:_:•,Nagato,317.0
758,:-SS,Nailbiting,300.0
759,(Z(:^P,Napoleon,400.0
760,"~,~",Napping,100.0
761,_:^),Native American,300.0
762,:3,Naughty Grin,400.0
763,*:-),Navy Admiral,200.0
764,@:-),Navy Captain,200.0
765,#:-),Navy Commander,200.0
766,=:-),Navy Lieutenant,200.0
767,|==|iiii|>---,Needle,350.0
768,(-),Needs Haircut,500.0
769,(¬_¬ ),Neglected,250.0
770,8-|,Nerd,150.0
771,QK,Ninja,200.0
772,( --)/ ==卍,Ninja Star,287.0
773,[+..••],Nintendo Controller,250.0
774,(nod),Nodding,250.0
775,(?_?),Nonsense,400.0
776,):-(,Nordic,450.0
777,(:^(,Nose,300.0
778,%-(,Not Listening,300.0
779,<2,Not quite love,400.0
780,[-(,Not talking,300.0
781,^:)^,Not Worthy,250.0
782,(8),Note,250.0
783,]:-),Nurse,300.0
784,"•.,¸,.•*`•.,¸¸,.•*¯ ╭━━━━╮ •.,¸,.•*¯`•.,¸,.•*¯.|:::::::::: /___/ •.,¸,.•*¯`•.,¸,.•* <|:::::::::(｡ ●ω●｡) •.,¸,.•¯•.,¸,.•╰ * >し------し---Ｊ",Nyan Cat,146.0
785,Ｃ:。ミ,Octopus,164.0
786,O_o,Oddball,400.0
787,:-j,Oh Go On,300.0
788,/o\,Oh no!,350.0
789,L(´□｀L),Oh No!,183.0
790,?:-_],Old Lady,400.0
791,|:-{)~,Old Man,400.0
792,(ﾉ-o-)ﾉ 中,Olympic Hammer Throw,225.0
793,:)],On the Phone,150.0
794,(〃＾∇＾)】,On The Phone,189.0
795,':-(,One Eyebrow,300.0
796,.-),One-Eyed Smile,200.0
797,:~,Ood,400.0
798,=X,Oops,300.0
799,:d,Open-Mouthed Smile,300.0
800,E:-),Operator,300.0
801,̿’̿’\̵͇̿̿\З=( ͠° ͟ʖ ͡°)=Ε/̵͇̿̿/’̿̿ ̿ ̿ ̿ ̿ ̿,Outlaw,138.0
802,~#|__/~~\o/~,Overboard,500.0
803,^_^,Overjoyed,137.0
804,:-))),Overweight,400.0
805,"(*v*) (( )) -""-""-",Owl,154.0
806,(<. . . .,Pacman,220.0
807,(V)=|,Pacman Trophy,300.0
808,(>_<),Painful,150.0
809,(。･_･)ノ”【】,Painting,217.0
810,◖㈠ ω ㈠◗,Panda,169.0
811,\(>o<)/,Panicking,233.0
812,(>-:-)-<,Parachute,400.0
813,(@.@),Paranoid,300.0
814,{|:{),Park Ranger,500.0
815,<:o),Party,300.0
816,*<(:),Party Hat,400.0
817,<l:0,Partying,100.0
818,*<|8-P~,Partying Too Much,300.0
819,(:V,Pato,350.0
820,(^o^)y,Peace,167.0
821,(/ω･＼),Peering,300.0
822,<IIEEEEEED,Pen,500.0
823,0))__)>,Pencil,450.0
824,<(^),Penguin,150.0
825,*-),Pensive,400.0
826,༼ঢ_༽ঢ༽,Perplexed,275.0
827,<:^],Person,300.0
828,>:P,Phbbbbt,167.0
829,ε-(´・｀) ﾌ,Phew,317.0
830,:?),Philosopher,400.0
831,(((☎))),Phone,191.0
832,________ /_/_/_/_/,Piano,300.0
833,) ( \___/,Pie,450.0
834,----|},Pie Being Thrown,300.0
835,--===[},Pie Fight,267.0
836,<(^oo^)>,Pig,185.0
837,(*’(OO)’*),Piggy,300.0
838,∋∞(●ﾟvﾟ)∞∈,Pigtails,180.0
839,(o^-^o),Pikachu,219.0
840,<(:-),Pilgrim,300.0
841,(__),Pill,450.0
842,\|/ (_),Pineapple,200.0
843,┳┻┳°,Ping Pong table,275.0
844,:---),Pinnochio,300.0
845,/ :/ ),Pinocchio,400.0
846,R),Pirate,133.0
847,"-=,q",Pistol,433.0
848,<%),Pizza,112.0
849,(pl),Plate,300.0
850,:þ,Playful,275.0
851,◦°˚\☺/˚°◦,Playing in the snow,167.0
852,( •_•)O °Q(•_• ),Playing Ping Pong,200.0
853,(+[__]∙:∙),PlayStation Portable,200.0
854,(^̮^),Pleased,300.0
855,(pu),Point Up,500.0
856,（￢з￢）σ,Pointing,250.0
857,:-I,Poker Face,200.0
858,(*・)σσ(*゜O゜),Poking,300.0
859,ʕ•͡ᴥ•ʔ,Polar bear,141.0
860,-[[•]]--[()]-,Police Chase,500.0
861,c|:-|,Police Officer,400.0
862,(｡･ˇдˇ･｡),Pompous,300.0
863,^ /'\\\___***  ( )  || ||,Pony,450.0
864,੯ू‵ू ໒꒱,Poodle,260.0
865,(poolparty),Pool Party,333.0
866,~@~,Poop,222.0
867,[::::],Pop-Tart,200.0
868,<+]:¬),Pope,300.0
869,;-?,Popeye,250.0
870,(•ᴥ• )́`́'́`́'́⻍,Porcupine,240.0
871,:<,Pout,167.0
872,:-\,Pouting,300.0
873,\o/,Praise The Lord,233.0
874,_/\_,Prayer,400.0
875,/\'s,Prayers,400.0
876,[-o<,Praying,200.0
877,（人’∀’）,Precious,250.0
878,:-)>( )-,Pregnant,400.0
879,&,Pretzel,400.0
880,+:-),Priest,300.0
881,(zilmer),Priidu,300.0
882,\<><>/,Prince,400.0
883,~<:-),Princess,300.0
884,@(*-*)@,Princess Leia,300.0
885,x{|:),Propeller Hat,400.0
886,( ° ᴗ°)~ð,Proposal,250.0
887,== -,Proud,400.0
888,(+[ ]-:-),PSP,300.0
889,ヘ（。□°）ヘ,Psycho,200.0
890,（*＾3＾）,Pucker up,200.0
891,:&,Puke,400.0
892,(puking),Puking,300.0
893,o(^▽^)o,Pumped,160.0
894,ヽ( ★ω★)ノ,Pumped up,200.0
895,(^:^),Pumpkin,300.0
896,（。_°☆＼(- – ),Punch,280.0
897,(。_°)☆,Punched,200.0
898,(o￣∇￣)=◯)`ν゜)･,Punching,150.0
899,-:-/,Punk,300.0
900,-:(,Punk rocker,400.0
901,U＾ェ＾U,Puppy,150.0
902,∊♡_ᴥ_♡∍,Puppy Love,187.0
903,".'""",Pursing Lips,400.0
904,Q('.'Q),Put Em Up,250.0
905,t('.'t),Put em up,400.0
906,Facebookノ( º _ ºノ),Putting Facebook back after flipping it,400.0
907,(•_•) ( •_•)>⌐■-■ (⌐■_■),Putting On Sunglasses,300.0
908,┬─┬ノ( º _ ºノ),Putting Table Back,260.0
909,「(°ヘ°),Puzzled,225.0
910,C):-O C):-O C):-O C):-O,Quartet,500.0
911,\%%%/,Queen,400.0
912,:?:,Question,400.0
913,"()() =(-,-)= ("")_("")",Rabbit,173.0
914,`=o=^o>,Race Car,400.0
915,CD:-)>,Railroad Worker,500.0
916,~~:-(,Rain,400.0
917,(R),Rainbow,400.0
918,ƪ(˘⌣˘)ʃ,Raise the roof,275.0
919,/:),Raised Eyebrow,400.0
920,(﻿ ͡° ͜ʖ ͡°),Raised eyebrows,250.0
921,d:o),Rapper,400.0
922,<:3( )~~,Rat,220.0
923,(((((:-{=,Raver,400.0
924,～゜・_・゜～,Raving,300.0
925,(l),Red Heart,300.0
926,(k),Red Lips,300.0
927,(f),Red Rose,300.0
928,}---:o>,Reindeer,300.0
929,o(´^｀)o,Reluctant,220.0
930,~o),Reproduction,300.0
931,(*_*),Restrained Fury,350.0
932,>=D,Revenge,300.0
933,?$?:-),Rich,450.0
934,(}),Right Hug,300.0
935,/O,Rimshot,400.0
936,✌(გ_㇁გ)✌,Ringo Starr,200.0
937,________ -------- ________,Road,400.0
938,*<l:o)>,Robin Hood,300.0
939,([(,Robocop,400.0
940,~(o_o)~,Robot,225.0
941,\m/@_@\m/,Rock On,175.0
942,O -- [] -- ✄,Rock Paper Scissors,500.0
943,\m/(>.<)\m/,Rocker,157.0
944,<===~~,Rocket,300.0
945,\m/,Rocking,150.0
946,\m/ >_< \m/,Rocking Out,150.0
947,◔̯◔,Rolling Eyes,200.0
948,=)),Rolling on the Floor Laughing,400.0
949,(ɔ˘з˘)ɔ,Romantic,250.0
950,7:-),Ronald Reagan,200.0
951,~:>,Rooster,300.0
952,@~)~~~~,Rose,133.0
953,<(*_*)>,Rosie,267.0
954,3:*>,Rudolph,250.0
955,== 0>--< ==,Run Over,500.0
956,ε=┏(ﾟロﾟ;)┛,Running,160.0
957,:c,Sad,138.0
958,;^;,Sadness,400.0
959,/:-),Sailor,300.0
960,;-)}<////>,Salesman,400.0
961,O7,Salute,237.0
962,:-{o,Salvador Dali,300.0
963,*<]:{),Santa,200.0
964,*<:-),Santa Claus,200.0
965,:S,Sarcastic,167.0
966,←～（o ｀▽´ )oΨ,Satan,280.0
967,(▰˘◡˘▰),Satisfied,229.0
968,.∵･(ﾟДﾟ),Scared,140.0
969,(☄ฺ◣д◢)☄ฺ,Scaring,200.0
970,(╯‵Д′)╯,Scary,267.0
971,ಠᴗಠ,Scheming,175.0
972,*!#*!^*&:-),Schizophrenic,200.0
973,!:-),Scholar,300.0
974,*s*,School,450.0
975,/( ＿0＿)￣θ☆≡≡○,Scissor Kick,300.0
976,8<,Scissors,200.0
977,c--I-I-I{,Scorpion,400.0
978,>-$,Scowling,400.0
979,<(;￣ ･￣),Scratching,300.0
980,^:-/,Scratching Head,400.0
981,:-@,Screaming,250.0
982,O-),Scuba Diver,300.0
983,\';./,Sea Horse,300.0
984,___  / \ >| __> >| | >| |_  \ / \  \__/,Seahorse,280.0
985,(ᵔᴥᵔ),Seal,164.0
986,;^!,Secret,300.0
987,:-*,Secret Telling,300.0
988,8==8,Seeing Eye to Eye,200.0
989,\000/,Shaka,400.0
990,(shake),Shaking,400.0
991,(x.x)9,Shaking Fist,300.0
992,[-x,Shame on You,467.0
993,~~~/\\~~~,Shark,200.0
994,_/\_\o/_,Shark Attack,333.0
995,@@@@@@@ @^_^@@@@@ @@@@@@@ !! !! ^^ ^^,Sheep,240.0
996,C):-| *,Sheriff,300.0
997,(¬､¬),Shifty,250.0
998,⊙▂⊙,Shocked,140.0
999,(ﾟ皿ﾟ)ｒ┏┳－*,Shooting,200.0
1000,☆彡,Shooting Star,500.0
1001,+-(,Shot between the eyes,400.0
1002,ᡕᠵ᠊ᡃ່࡚ࠢ࠘⸝່ࠡࠣ᠊᠆ࠣᡁࠣ࠘᠊᠊ࠢ࠘᠊᠊ࠢ࠘~♡,Shot in the heart,250.0
1003,^^,Shoulder Shrug,300.0
1004,:-V,Shouting,300.0
1005,|----D,Shovel,400.0
1006,`\('_')/`,Shrug,300.0
1007,¯\_(ツ)_/¯,Shrugging,136.0
1008,（/｡＼),Shy,160.0
1009,(-:|:-),Siamese Twins,300.0
1010,:-&,Sick,140.0
1011,:-Y,Side Comment,300.0
1012,8-O --*,Side Cramp,500.0
1013,:-<,Sigh,333.0
1014,=P,Silly,240.0
1015,(^o^),Singing,300.0
1016,]:,Skateboard,200.0
1017,O[-<]:,Skateboarder,200.0
1018,O-/-<]:,Skater,150.0
1019,(•͡.•͡),Skeptical,200.0
1020,*(H-),Skier,400.0
1021,ε=┌(^-^)┘,Skipping,233.0
1022,8-X,Skull,400.0
1023,(skype),Skype,250.0
1024,(；^＿^)ッ☆(　゜o゜),Slapping,250.0
1025,-_-,Sleeping,150.0
1026,/ZZ,Sleeping Darth Vader,400.0
1027,(s),Sleeping Half-Moon,450.0
1028,૮(-.-)ა,Sleeping Kirby,160.0
1029,~_~,Sleepy,150.0
1030,"#(,'%/)",Slept Too Long,200.0
1031,:-#,Smacked,400.0
1032,:),Smile,109.0
1033,( ͡° ͜ʖ ͡°),Smiling,146.0
1034,:-1,Smirk,214.0
1035,;^),Smirking,167.0
1036,(｡♥‿♥｡),Smitten,250.0
1037,:-d~,Smoker,233.0
1038,:-Q,Smoking,150.0
1039,:-?,Smoking a Pipe,300.0
1040,(づ￣ ³￣)づ,Smooch,217.0
1041,:>,Smug,200.0
1042,_@v,Snail,175.0
1043,<=====<>~,Snake,250.0
1044,- -  o...,Sneezing,400.0
1045,:-`|,Sniffling,300.0
1046,( ´-ω･)︻┻┳══━一,Sniper,130.0
1047,:<),Snobby,300.0
1048,┬┴┬┴┤(･_├┬┴┬┴,Snooper,170.0
1049,|^O,Snoring,200.0
1050,❆❅❉,Snowing,144.0
1051,__ _|_|_ (••) ( ) ( ),Snowman,175.0
1052,(´･ω･`),Snubbing,162.0
1053,O D O,So Wrong,500.0
1054,(╥﹏╥),Sobbing,162.0
1055,(so),Soccer Ball,450.0
1056,| | | |__ (____),Sock,500.0
1057,/:-),Soldier,250.0
1058,c]:{D,Sombrero,400.0
1059,੯ू•́ू ໒꒱⁼³₌₃,Sonic the Hedgehog,300.0
1060,?-(,Sorry,300.0
1061,>.<,Sour,133.0
1062,(X^(*,Sour Face,400.0
1063,[>==],South African Flag,300.0
1064,0_o,Spaced Out,300.0
1065,|-=[O]=-|,Spaceship,400.0
1066,:-M,Speak no Evil,300.0
1067,:|,Speechless,300.0
1068,/\(00)/\,Spider,225.0
1069,:-`,Spitting,300.0
1070,>:-I,Spock,300.0
1071,|∴め ϖ め∴|,SpongeBob SquarePants,144.0
1072,ↁ_ↁ,Spooked,400.0
1073,ε=ε=ε=┌(๑ʘ∀ʘ)┘,Sprinting,280.0
1074,__m_OO_m__,Spy,400.0
1075,<コ:彡,Squid,156.0
1076,-_-,Squinting,200.0
1077,(*),Star,300.0
1078,*~*,Star Gazed,250.0
1079,(;￢_￢),Staring,150.0
1080,%.),Staring at a Screen for Too Long,200.0
1081,=-O,Starship Enterprise,400.0
1082,(~);},Stealie,183.0
1083,;@,Steaming Mad,300.0
1084,|̲̅̅●̲̅̅|̲̅̅=̲̅̅|̲̅̅●̲̅̅|,Stereo,133.0
1085,|:-|,Stern,400.0
1086,O -|- /\,Stick Man,200.0
1087,O-[--<,Stickfigure,400.0
1088,:P,Sticking Tongue Out,167.0
1089,:-{ -__-:,Stinky,250.0
1090,~/~,Stirring,500.0
1091,$:-$,Stock Broker,300.0
1092,>;D,Stoked,400.0
1093,*STOP*,Stop,200.0
1094,(st),Stormy Cloud,300.0
1095,:|,Straight face,200.0
1096,.'T,Straight Face,350.0
1097,-.-,Stressed,300.0
1098,O=[O{|___|]=O,Stretcher,500.0
1099,___ψ(‥ ),Studying,267.0
1100,@?@,Stunned,300.0
1101,&;-P,Suave,300.0
1102,(sun),Sun,175.0
1103,B-),Sunglasses,150.0
1104,_\|/_,Sunset,400.0
1105,((o)),Sunshine,200.0
1106,─=≡Σ(([ ⊐•̀⌂•́]⊐,Superhero,161.0
1107,/ O-\-</  /',Surfer,300.0
1108,Ⅽ( O ∪ O )Ↄ,Surprise,250.0
1109,:o,Surprised,114.0
1110,(ﾉ_ _)ﾉ,Surrender,200.0
1111,0-0,Suspense,400.0
1112,(@@)  O,Suspicious,300.0
1113,:#,Swearing,200.0
1114,`:-),Sweating,300.0
1115,8-),Swimmer,400.0
1116,__/\o_,Swimming,250.0
1117,B-)-[<,Swimming Trunks,500.0
1118,x_O,Swollen Eye,300.0
1119,oxx:{}:::::::>,Sword,162.0
1120,(´>_●)メ(●_<｀),Sword Fighting,145.0
1121,-<((((>-{,Swordfish,400.0
1122,---(|||]==[],Syringe,125.0
1123,┬─┬﻿︵/(.□.)╯,Table Flips You,133.0
1124,‎(>o<)ρミ┳┷┳゜,Table Tennis,212.0
1125,༼ つ ◕_◕ ༽つ,Take my energy,133.0
1126,=;,Talk to the Hand,300.0
1127,:-{ },Talking,200.0
1128,"__ |""""""\-= (____)",Tank,230.0
1129,>8-O-(&),Tapeworm,500.0
1130,(๑╹ڡ╹๑),Tasty,250.0
1131,(tuari),Tauri,500.0
1132,\_/?,Tea Cup,400.0
1133,C(_)~,Teapot,400.0
1134,&-l,Tearing up,400.0
1135,:p,Teasing,133.0
1136,⊂(◜ᴥ◝)つ,Teddy Bear,167.0
1137,⊂(^(工)^)⊃,Teddy bear,222.0
1138,(t),Telephone Receiver,300.0
1139,(((((^_^),Teleporting,275.0
1140,-(:)(0)=8,Teletubby,425.0
1141,>[I,Television,300.0
1142,ixxxxxi,Tennis Net,500.0
1143,|B-),Terminator,300.0
1144,＼(-_- ),Thank You,220.0
1145,^/^,The Great Divider,450.0
1146,-:},The Grinch,250.0
1147,8=:-K,The Swedish Chef,300.0
1148,:-?,Thinking,167.0
1149,m- B^] -m,This guy,300.0
1150,(*・_・)ノ⌒*,Throwing Away,267.0
1151,q('-')p,Thumbs Down,400.0
1152,d-(^.^)z,Thumbs Up,133.0
1153,:-)<////>,Tie,300.0
1154,(-o-),TIE Fighter,300.0
1155,o ( : o O o,Tigger,500.0
1156,:-T,Tight Lipped,300.0
1157,[]---|<O---[],Tight Rope,500.0
1158,:^T,Tight-lipped,400.0
1159,(o),Time,250.0
1160,:-t,Time Out,200.0
1161,-<:-(,Tin Man,300.0
1162,〠_〠,Tired,200.0
1163,(%]:D,Toad,233.0
1164,0000(0)(0)0000,Toes,400.0
1165,(toivo),Toivo,233.0
1166,.'w,Tongue,450.0
1167,:-J,Tongue in Cheek,125.0
1168,(:@,Tongue Tied,250.0
1169,:-a,Tongue Touching Nose,500.0
1170,(tmi),Too Much Information,400.0
1171,[|:),Top Hat,350.0
1172,#:o\:o/:o\:o/:o||,Totem Pole,500.0
1173,='),Touched,300.0
1174,{:-),Toupee,300.0
1175,-HHHH,Tower,300.0
1176,[..],Transformer,200.0
1177,>~<,Translate,450.0
1178,>:-|,Trekkie,300.0
1179,:<(),Tribesman,400.0
1180,｡｡｡(o_ _)o⌒☆,Tripping,300.0
1181,(>_<)>,Troubled,300.0
1182,<.<,Troublemaker,400.0
1183,[._.]-.˛,Truck,250.0
1184,-=iii=<(),Trumpet,275.0
1185,(o) \\\\ (_),Tuba,500.0
1186,O>-O>-|-<O-<O,Tug of War,500.0
1187,X:-|,Tupac Shakur,400.0
1188,@=),Turban,250.0
1189,mm . .\ \\\/  V\ \\\\///  \ \\\/  ( )  l L,Turkey,237.0
1190,[( o/)]|::|[( o/)],Turntables,300.0
1191,:(,Turtle,455.0
1192,:-)8---,Tuxedo,300.0
1193,(-::-(,Two-faced,500.0
1194,.-=-.,UFO,400.0
1195,=-O,Uh-oh,233.0
1196,(o|o),Ultraman,150.0
1197,"(---,",Umbrella,250.0
1198,q;|,Umpire,400.0
1199,(ㆆ_ㆆ),Unamused,167.0
1200,x:-/,Uncertain,300.0
1201,=l:-)=,Uncle Sam,400.0
1202,\_(*-*)_/ | / \,Undecided,233.0
1203,:<,Unhappy,200.0
1204,|:-),Unibrow,400.0
1205,（￣～￣）,Unimpressed,150.0
1206,**==,United States Flag,200.0
1207,:/,Unsure,100.0
1208,{{|└(>o< )┘|}},Up In Arms,250.0
1209,>.<,Upset,217.0
1210,.-.,Upside Down,167.0
1211,P:,Upward Lick,275.0
1212,"@,.,@",Vampire,229.0
1213,"^,..,^",Vampire Bat,175.0
1214,"^v^(;,,;)^v^",Vampire bat,200.0
1215,(^-^:),Vampire Bite,350.0
1216,:-[,Vampiro,300.0
1217,%*},Very Drunk,300.0
1218,=D,Very Happy,233.0
1219,:-((,Very Sad,300.0
1220,v(^_^)v,Victory,250.0
1221,8Ö<,Video Projector,500.0
1222,](-[3,Viking,400.0
1223,(o\_!_/o),Volkswagen Bug,400.0
1224,(／o^)/°⊥＼(^o＼),Volleyball,300.0
1225,o ixxxxxxxi | |,Volleyball Net,400.0
1226,:O=,Vomit,400.0
1227,:-C.°.°,Vomiting,250.0
1228,(>'.')>#,Waffle,200.0
1229,(″･ิ_･ิ)っ,Wait,214.0
1230,且_(ﾟ◇ﾟ；)ノﾞ,Waiter,271.0
1231,:-w,Waiting,167.0
1232,(:3 っ)っ,Walrus,137.0
1233,._),Warping,500.0
1234,@@ -,Watching,400.0
1235,__/\o_ o,Water Polo,500.0
1236,(wave),Wave,233.0
1237,~~c___,Waves,250.0
1238,( ^_^)／,Waving,200.0
1239,:-)--,Weakling,400.0
1240,(´~`),Weary,200.0
1241,;w;,Weeping,250.0
1242,:|=.===.=|:  \ O / | _/ \_,Weightlifting,250.0
1243,-_-,Whatever,167.0
1244,#:-S,Whew,275.0
1245,*WHINING*,Whining,300.0
1246,( ￣ﾉ∇￣)￣ｰ￣),Whispering,178.0
1247,":-""",Whistling,150.0
1248,(－‸ლ),Whoops,150.0
1249,8-O,Wide-eyed,400.0
1250,(w),Wilted Rose,433.0
1251,ミ田,Windows,400.0
1252,())=(,Wine Glass,400.0
1253,;^),Wink,129.0
1254,;-),Winking,220.0
1255,ʕ •́؈•̀),Winnie the Pooh,217.0
1256,（ つ Д ｀）,Wiping Tears,312.0
1257,<):^/,Witch,300.0
1258,I8${},Witch Doctor,400.0
1259,(∩｀-´)⊃━☆ﾟ.*･｡ﾟ,Wizard,141.0
1260,{0-|<[,Woman,300.0
1261,(p >_>)--D C--(<_< q),Wonder Twins,500.0
1262,o.o?,Wondering,200.0
1263,ᡊ|◔じ◔|ᡊ,Woody Allen,300.0
1264,(wo),Work,500.0
1265,(´╹〽╹`),Worried,153.0
1266,ƪ(˘▽˘ƪ),Worshiping,240.0
1267,＿〆(。。),Writing,200.0
1268,8==8O8==8,X-Wing,200.0
1269,[x],Xbox,400.0
1270,_/),Yacht,300.0
1271,|-O,Yawn,100.0
1272,(;´ρ`),Yawning,250.0
1273,*\o/*,Yay,200.0
1274,>:O,Yelling,167.0
1275,(☉__☉”),Yikes,200.0
1276,(%),Yin Yang,300.0
1277,<(-_-)>,Yoda,167.0
1278,(ﾉﾟ0ﾟ)ﾉ~,Yoo-Hoo,143.0
1279,:-0>,Yuck Face,200.0
1280,:-9,Yum,300.0
1281,(っ˘ڡ˘ς),Yummy,250.0
1282,/:(////)~ /\ /\,Zebra,400.0
1283,:#,Zip It,200.0
1284,"(V) (°,,,,°) (V)",Zoidberg,240.0
1285,[¬º-°]¬,Zombie,154.0
1286,Z,Zorro,500.0
1287,B-)===>,ZZ Top,340.0
