#,Emoticon,Meaning,Votes
163,",,,,, _|||||_ {~*~*~*~} _{*~*~*~*}_ `-----------`",Cake,162.0
164,(call),Call,400.0
165,:-c,Call Me,300.0
166,~M',Camel,300.0
167,(p),Camera,233.0
168,|C|,Can of Coke,400.0
169,|P|,Can of Pepsi,500.0
170,~=,Candle,225.0
171,>(///)<,Candy,267.0
172,P=\\,Cap,300.0
173,(; ·_·)????C<?_-),Capture,500.0
174,__ /--|__ |@ @\,Car,375.0
175,((-_(-_-)_-)),Care Crowd,350.0
176,＼(^o)(^0^)(o^)／,Caroling,250.0
177,($),Cash,300.0
178,❀[{O{]_+- _]❀,Casket,500.0
179,|*-*|,Cassette Tape,300.0
180,(=◑ᆺ◐=),Cat,142.0
181,>^..^<,Cat Face,150.0
182,IIII8^)X,Cat in the Hat,300.0
183,^-.-^ Zzzzz,Cat Nap,400.0
184,q:-),Catcher,400.0
185,(:@@@@@D,Caterpillar,167.0
186,~o(:-),Cave Diver,400.0
187,＼(＾O＾)／,Celebrate,220.0
188,ᕕ( ᐛ )ᕗ,Celebrating,155.0
189,ᘛ⁐̤ᕐᐷ,Chameleon,200.0
190,(<._.>),Charlie Brown,400.0
191,C|:-=,Charlie Chaplin,300.0
192,(○｀д´)ﾉｼ Σ(っﾟДﾟ)っ,Chasing,170.0
193,〜〜(／￣▽)／　〜ф,Chasing A Butterfly,233.0
194,:( ),Chatterbox,300.0
195,(o`ꇴ´o),Cheeky,250.0
196,\o/,Cheer,300.0
197,(＾▽＾),Cheerful,275.0
198,✺◟(•‿•)◞✺,Cheerleader,200.0
199,(:=3,Chef,200.0
200,~:>,Chicken,300.0
201,C8o \,Chimp,250.0
202,-{:-],Chinese Hat,300.0
203,\)))/ & \~~~/,Chips and Dip,500.0
204,ε=Σ(´ ),Chirping,400.0
205,:putnam:,Chris Putnam,250.0
206,*<<<<=,Christmas Tree,175.0
207,^)_(^,Chubby,267.0
208,(='.'=),Chubby cat,233.0
209,<{^-^}>,Chubby Face,400.0
210,=====~,Cigarette,300.0
211,:-.),Cindy Crawford,300.0
212,(:),Clam,300.0
213,(￣ー￣)//””,Clapping,300.0
214,(o),Clock,500.0
215,*<:o),Clown,100.0
216,=:-),Cobbler,400.0
217,(_)>,Coffee,400.0
218,(C),Coffee Cup,200.0
219,:-{},Cold,250.0
220,?_?,Cold Stare,300.0
221,$:-),Comb Stuck in the Hair,400.0
222,(。。;)＼(-_-),Comforting,300.0
223,(co),Computer,300.0
224,@/:^),Conan,250.0
225,:-r,Concentrating,400.0
226,:-8(,Condescending,400.0
227,:^),Confounded,400.0
228,¯\(°_o)/¯,Confused,150.0
229,¯(°_o)/¯,Confused shrug,250.0
230,˙ ͜ʟ˙,Content,175.0
231,B-),Cool,133.0
232,-<0oo,Corn,350.0
233,:-[x>,Count Dracula,450.0
234,3:-O,Cow,250.0
235,+/'\,Cowbell,300.0
236,<):-),Cowboy,200.0
237,{:-),Cowgirl,250.0
238,V.v.V,Crab,225.0
239,[]::(CRAYOLA)::[]>,Crayola crayon,400.0
240,()_RED_(>,Crayon,275.0
241,(⊙_◎),Crazed,271.0
242,%OD,Crazily laughing,400.0
243,(◐‿◑)﻿,Crazy,142.0
244,">,=,-",Crocodile,250.0
245,H-),Cross-Eyed,300.0
246,;-;,Crying,162.0
